speaker,language,clip,phone,vot_ms
VF19B,C,0,g,39.00000000000001
VF19B,C,1,g,36.00000000000001
VF19B,C,10,g,25.000000000000007
VF19B,C,100,g,39.99999999999999
VF19B,C,101,g,53.00000000000001
VF19B,C,102,g,26.999999999999996
VF19B,C,103,g,4.99999999999999
VF19B,C,104,g,43.00000000000001
VF19B,C,105,g,27.999999999999996
VF19B,C,106,g,27.999999999999996
VF19B,C,107,g,29.000000000000025
VF19B,C,108,g,11.000000000000004
VF19B,C,109,g,27.999999999999982
VF19B,C,11,k,50.0
VF19B,C,110,g,50.0
VF19B,C,111,g,53.00000000000001
VF19B,C,112,g,27.999999999999996
VF19B,C,113,g,100.99999999999999
VF19B,C,114,g,63.0
VF19B,C,115,g,23.999999999999993
VF19B,C,116,g,27.999999999999996
VF19B,C,117,g,27.999999999999996
VF19B,C,118,g,20.99999999999999
VF19B,C,119,g,31.0
VF19B,C,12,k,89.0
VF19B,C,120,g,32.0
VF19B,C,121,g,31.0
VF19B,C,122,g,28.00000000000001
VF19B,C,123,g,5.000000000000004
VF19B,C,124,g,13.00000000000001
VF19B,C,125,g,23.999999999999993
VF19B,C,126,g,4.99999999999999
VF19B,C,127,g,5.000000000000004
VF19B,C,128,g,64.00000000000001
VF19B,C,129,g,35.0
VF19B,C,13,g,24.999999999999993
VF19B,C,130,g,20.99999999999999
VF19B,C,131,g,9.000000000000007
VF19B,C,132,g,53.00000000000001
VF19B,C,133,g,64.99999999999999
VF19B,C,134,g,31.0
VF19B,C,135,g,21.000000000000018
VF19B,C,136,g,25.999999999999996
VF19B,C,137,g,27.999999999999996
VF19B,C,138,g,25.999999999999996
VF19B,C,139,g,26.00000000000001
VF19B,C,14,k,5.000000000000004
VF19B,C,140,g,23.999999999999993
VF19B,C,141,g,28.00000000000001
VF19B,C,142,g,42.0
VF19B,C,143,g,50.0
VF19B,C,144,g,5.000000000000004
VF19B,C,145,g,27.999999999999996
VF19B,C,146,g,5.000000000000004
VF19B,C,147,g,56.00000000000001
VF19B,C,148,gw,40.99999999999999
VF19B,C,149,g,45.000000000000014
VF19B,C,15,g,49.0
VF19B,C,150,g,4.999999999999997
VF19B,C,151,k,102.0
VF19B,C,152,g,36.00000000000001
VF19B,C,153,g,33.0
VF19B,C,154,g,28.999999999999996
VF19B,C,155,g,30.000000000000007
VF19B,C,156,g,17.0
VF19B,C,157,g,27.999999999999996
VF19B,C,158,g,34.00000000000001
VF19B,C,159,g,38.99999999999999
VF19B,C,16,g,37.99999999999999
VF19B,C,160,g,65.99999999999999
VF19B,C,161,g,32.0
VF19B,C,162,g,24.999999999999993
VF19B,C,163,k,56.00000000000001
VF19B,C,164,g,39.99999999999999
VF19B,C,165,g,40.00000000000001
VF19B,C,166,g,37.00000000000001
VF19B,C,167,g,38.99999999999999
VF19B,C,168,g,17.000000000000014
VF19B,C,169,g,24.999999999999993
VF19B,C,17,g,24.999999999999993
VF19B,C,170,g,34.0
VF19B,C,171,g,51.00000000000001
VF19B,C,172,g,19.999999999999996
VF19B,C,173,g,24.000000000000007
VF19B,C,174,g,20.99999999999999
VF19B,C,175,g,26.999999999999996
VF19B,C,176,g,57.0
VF19B,C,177,k,90.00000000000001
VF19B,C,178,g,18.99999999999999
VF19B,C,179,g,5.000000000000004
VF19B,C,18,k,55.99999999999999
VF19B,C,180,g,47.99999999999999
VF19B,C,181,g,9.000000000000007
VF19B,C,182,g,30.0
VF19B,C,183,g,18.99999999999999
VF19B,C,184,g,27.999999999999996
VF19B,C,185,g,121.0
VF19B,C,186,g,21.000000000000004
VF19B,C,187,g,26.999999999999996
VF19B,C,188,g,27.999999999999996
VF19B,C,189,g,20.99999999999999
VF19B,C,19,g,79.00000000000001
VF19B,C,190,g,28.999999999999996
VF19B,C,191,g,23.999999999999993
VF19B,C,192,g,31.0
VF19B,C,193,k,65.99999999999999
VF19B,C,194,g,5.000000000000004
VF19B,C,195,g,37.00000000000001
VF19B,C,196,g,34.0
VF19B,C,197,g,41.00000000000001
VF19B,C,198,k,54.00000000000001
VF19B,C,199,g,32.0
VF19B,C,2,g,5.000000000000004
VF19B,C,20,g,34.0
VF19B,C,200,g,24.999999999999993
VF19B,C,201,g,27.999999999999996
VF19B,C,202,g,36.00000000000001
VF19B,C,203,k,77.99999999999999
VF19B,C,204,g,25.000000000000007
VF19B,C,205,g,35.99999999999999
VF19B,C,206,g,25.000000000000007
VF19B,C,207,g,36.99999999999999
VF19B,C,208,g,34.0
VF19B,C,209,g,51.00000000000001
VF19B,C,21,k,5.000000000000004
VF19B,C,210,k,57.99999999999999
VF19B,C,211,g,33.0
VF19B,C,212,g,15.0
VF19B,C,213,g,40.00000000000001
VF19B,C,214,g,35.0
VF19B,C,215,g,70.0
VF19B,C,216,g,54.00000000000001
VF19B,C,217,g,40.99999999999999
VF19B,C,218,g,25.999999999999996
VF19B,C,219,g,18.000000000000004
VF19B,C,22,k,74.00000000000001
VF19B,C,220,g,35.99999999999999
VF19B,C,221,g,18.000000000000004
VF19B,C,222,g,5.000000000000004
VF19B,C,223,g,5.000000000000004
VF19B,C,224,g,8.999999999999995
VF19B,C,225,g,21.000000000000004
VF19B,C,226,g,38.99999999999999
VF19B,C,227,g,72.0
VF19B,C,228,g,5.000000000000004
VF19B,C,229,g,5.000000000000004
VF19B,C,23,k,101.0
VF19B,C,230,k,80.0
VF19B,C,231,k,4.999999999999977
VF19B,C,232,k,68.99999999999999
VF19B,C,233,g,22.999999999999993
VF19B,C,234,g,34.0
VF19B,C,235,g,34.0
VF19B,C,236,g,5.000000000000004
VF19B,C,237,g,36.00000000000001
VF19B,C,238,g,27.999999999999996
VF19B,C,239,k,56.99999999999999
VF19B,C,24,g,28.999999999999996
VF19B,C,240,k,65.00000000000001
VF19B,C,241,g,15.0
VF19B,C,25,g,30.0
VF19B,C,26,g,24.999999999999993
VF19B,C,27,g,31.999999999999986
VF19B,C,28,k,4.99999999999999
VF19B,C,29,g,27.999999999999996
VF19B,C,3,g,25.999999999999996
VF19B,C,30,g,89.0
VF19B,C,31,g,23.999999999999993
VF19B,C,32,g,5.000000000000004
VF19B,C,33,g,5.000000000000004
VF19B,C,34,g,5.000000000000004
VF19B,C,35,g,76.0
VF19B,C,36,g,40.99999999999999
VF19B,C,37,g,36.00000000000001
VF19B,C,38,g,16.999999999999986
VF19B,C,39,g,23.999999999999993
VF19B,C,4,g,26.00000000000001
VF19B,C,40,g,27.999999999999996
VF19B,C,41,g,11.00000000000001
VF19B,C,42,g,21.000000000000018
VF19B,C,43,g,11.999999999999982
VF19B,C,44,g,13.999999999999998
VF19B,C,45,g,13.00000000000001
VF19B,C,46,g,39.00000000000001
VF19B,C,47,g,8.999999999999995
VF19B,C,48,g,23.999999999999993
VF19B,C,49,g,27.999999999999996
VF19B,C,5,k,55.00000000000001
VF19B,C,50,g,11.999999999999996
VF19B,C,51,g,25.999999999999996
VF19B,C,52,g,22.000000000000007
VF19B,C,53,g,13.00000000000001
VF19B,C,54,g,39.00000000000001
VF19B,C,55,g,45.0
VF19B,C,56,g,37.00000000000001
VF19B,C,57,g,16.0
VF19B,C,58,g,28.00000000000001
VF19B,C,59,g,33.0
VF19B,C,6,g,24.999999999999993
VF19B,C,60,g,25.999999999999996
VF19B,C,61,g,27.999999999999996
VF19B,C,62,g,24.999999999999993
VF19B,C,63,k,65.0
VF19B,C,64,g,31.0
VF19B,C,65,k,41.00000000000001
VF19B,C,66,g,41.99999999999999
VF19B,C,67,g,23.000000000000007
VF19B,C,68,g,100.99999999999999
VF19B,C,69,g,40.99999999999999
VF19B,C,7,g,32.0
VF19B,C,70,k,5.000000000000004
VF19B,C,71,g,22.999999999999993
VF19B,C,72,g,20.000000000000018
VF19B,C,73,g,154.00000000000003
VF19B,C,74,g,33.0
VF19B,C,75,g,22.000000000000007
VF19B,C,76,g,5.000000000000004
VF19B,C,77,g,33.0
VF19B,C,78,g,34.0
VF19B,C,79,g,5.000000000000004
VF19B,C,8,g,61.99999999999999
VF19B,C,80,k,28.00000000000001
VF19B,C,81,g,5.000000000000004
VF19B,C,82,g,5.000000000000004
VF19B,C,83,g,38.0
VF19B,C,84,k,54.00000000000001
VF19B,C,85,g,26.999999999999996
VF19B,C,86,k,52.00000000000001
VF19B,C,87,g,31.0
VF19B,C,88,g,28.999999999999996
VF19B,C,89,g,47.0
VF19B,C,9,g,5.000000000000004
VF19B,C,90,g,56.99999999999999
VF19B,C,91,g,37.00000000000001
VF19B,C,92,g,5.000000000000004
VF19B,C,93,g,27.999999999999996
VF19B,C,94,g,37.00000000000001
VF19B,C,95,g,5.000000000000004
VF19B,C,96,g,27.999999999999996
VF19B,C,97,g,21.999999999999993
VF19B,C,98,g,32.0
VF19B,C,99,g,40.00000000000001
VF19B,E,0,G,43.0
VF19B,E,1,G,32.0
VF19B,E,10,G,24.000000000000007
VF19B,E,100,K,51.00000000000001
VF19B,E,101,K,57.99999999999998
VF19B,E,102,K,5.000000000000004
VF19B,E,103,G,36.00000000000001
VF19B,E,104,K,87.0
VF19B,E,105,K,65.0
VF19B,E,106,G,35.0
VF19B,E,107,K,107.00000000000001
VF19B,E,108,G,40.99999999999999
VF19B,E,109,G,30.0
VF19B,E,11,G,27.00000000000001
VF19B,E,110,K,5.000000000000004
VF19B,E,111,G,16.0
VF19B,E,112,G,20.99999999999999
VF19B,E,113,K,5.000000000000004
VF19B,E,114,K,45.0
VF19B,E,115,K,46.0
VF19B,E,116,K,54.0
VF19B,E,117,K,35.0
VF19B,E,118,K,5.000000000000004
VF19B,E,119,K,36.99999999999999
VF19B,E,12,G,33.0
VF19B,E,120,K,5.000000000000004
VF19B,E,121,G,36.99999999999999
VF19B,E,122,G,26.999999999999996
VF19B,E,123,K,77.00000000000001
VF19B,E,124,G,24.000000000000007
VF19B,E,125,K,62.999999999999986
VF19B,E,126,K,48.0
VF19B,E,127,G,37.00000000000001
VF19B,E,128,G,26.00000000000001
VF19B,E,129,K,45.0
VF19B,E,13,G,34.0
VF19B,E,130,K,78.0
VF19B,E,131,K,61.0
VF19B,E,132,K,49.999999999999986
VF19B,E,133,K,31.0
VF19B,E,134,G,26.999999999999996
VF19B,E,135,K,43.0
VF19B,E,136,K,52.00000000000002
VF19B,E,137,K,53.00000000000001
VF19B,E,138,K,5.000000000000004
VF19B,E,139,K,5.000000000000004
VF19B,E,14,G,52.00000000000001
VF19B,E,140,G,25.999999999999996
VF19B,E,141,K,69.0
VF19B,E,142,K,27.00000000000001
VF19B,E,143,K,71.00000000000001
