speaker,language,clip,phone,vot_ms
VM21B,C,0,g,33.0
VM21B,C,1,g,20.999999999999964
VM21B,C,10,g,20.000000000000004
VM21B,C,100,gw,5.000000000000001
VM21B,C,101,k,4.999999999999997
VM21B,C,102,g,28.999999999999996
VM21B,C,103,k,72.00000000000001
VM21B,C,104,k,64.00000000000001
VM21B,C,105,g,16.000000000000007
VM21B,C,106,k,60.999999999999986
VM21B,C,107,g,18.99999999999999
VM21B,C,108,g,24.000000000000007
VM21B,C,109,g,12.000000000000004
VM21B,C,11,g,38.99999999999999
VM21B,C,110,k,143.00000000000003
VM21B,C,111,g,20.000000000000004
VM21B,C,112,g,27.999999999999996
VM21B,C,113,g,5.000000000000004
VM21B,C,114,g,4.999999999999997
VM21B,C,115,g,24.999999999999993
VM21B,C,116,g,23.000000000000007
VM21B,C,117,k,18.99999999999999
VM21B,C,118,k,53.00000000000001
VM21B,C,119,k,38.00000000000001
VM21B,C,12,g,23.000000000000007
VM21B,C,120,k,84.99999999999999
VM21B,C,121,g,22.0
VM21B,C,122,g,28.999999999999996
VM21B,C,123,gw,28.99999999999999
VM21B,C,124,k,47.0
VM21B,C,125,g,25.000000000000007
VM21B,C,126,k,28.999999999999996
VM21B,C,127,k,27.999999999999996
VM21B,C,128,g,4.99999999999999
VM21B,C,129,g,38.0
VM21B,C,13,k,78.0
VM21B,C,130,g,13.999999999999998
VM21B,C,131,g,143.00000000000003
VM21B,C,132,g,22.000000000000007
VM21B,C,133,g,40.0
VM21B,C,14,g,19.000000000000004
VM21B,C,15,k,53.99999999999999
VM21B,C,16,k,5.000000000000004
VM21B,C,17,k,45.000000000000014
VM21B,C,18,k,21.000000000000004
VM21B,C,19,k,66.99999999999999
VM21B,C,2,g,18.000000000000004
VM21B,C,20,g,15.0
VM21B,C,21,gw,13.000000000000005
VM21B,C,22,g,20.000000000000004
VM21B,C,23,g,45.00000000000001
VM21B,C,24,g,12.999999999999998
VM21B,C,25,k,41.00000000000001
VM21B,C,26,g,20.99999999999999
VM21B,C,27,k,49.0
VM21B,C,28,k,39.99999999999999
VM21B,C,29,k,47.000000000000014
VM21B,C,3,g,22.000000000000007
VM21B,C,30,k,27.999999999999996
VM21B,C,31,gw,10.000000000000009
VM21B,C,32,k,47.0
VM21B,C,33,k,43.0
VM21B,C,34,g,21.000000000000004
VM21B,C,35,k,39.99999999999999
VM21B,C,36,g,9.999999999999995
VM21B,C,37,gw,31.0
VM21B,C,38,g,28.999999999999996
VM21B,C,39,g,52.00000000000001
VM21B,C,4,g,130.0
VM21B,C,40,g,25.999999999999996
VM21B,C,41,g,41.99999999999999
VM21B,C,42,g,49.0
VM21B,C,43,k,38.00000000000001
VM21B,C,44,g,22.000000000000007
VM21B,C,45,g,20.000000000000004
VM21B,C,46,g,13.00000000000001
VM21B,C,47,g,27.00000000000001
VM21B,C,48,g,25.999999999999996
VM21B,C,49,g,30.0
VM21B,C,5,g,21.999999999999993
VM21B,C,50,g,32.0
VM21B,C,51,k,76.0
VM21B,C,52,k,44.0
VM21B,C,53,k,76.00000000000001
VM21B,C,54,k,19.000000000000004
VM21B,C,55,k,51.00000000000001
VM21B,C,56,k,36.99999999999999
VM21B,C,57,k,40.99999999999999
VM21B,C,58,g,33.99999999999999
VM21B,C,59,g,31.999999999999986
VM21B,C,6,g,19.999999999999996
VM21B,C,60,g,30.0
VM21B,C,61,g,20.000000000000004
VM21B,C,62,g,24.999999999999993
VM21B,C,63,g,24.999999999999993
VM21B,C,64,k,38.0
VM21B,C,65,g,25.0
VM21B,C,66,g,36.00000000000001
VM21B,C,67,g,20.000000000000004
VM21B,C,68,g,22.999999999999993
VM21B,C,69,g,24.999999999999993
VM21B,C,7,g,16.0
VM21B,C,70,g,92.0
VM21B,C,71,g,5.000000000000004
VM21B,C,72,g,49.0
VM21B,C,73,g,34.0
VM21B,C,74,g,22.999999999999993
VM21B,C,75,g,16.0
VM21B,C,76,g,77.0
VM21B,C,77,g,17.0
VM21B,C,78,g,27.999999999999996
VM21B,C,79,g,28.999999999999996
VM21B,C,8,g,18.000000000000004
VM21B,C,80,g,19.99999999999999
VM21B,C,81,g,4.999999999999997
VM21B,C,82,g,18.000000000000004
VM21B,C,83,g,37.0
VM21B,C,84,g,22.999999999999993
VM21B,C,85,g,26.00000000000001
VM21B,C,86,k,33.0
VM21B,C,87,g,8.000000000000007
VM21B,C,88,g,21.000000000000018
VM21B,C,89,k,46.0
VM21B,C,9,g,17.0
VM21B,C,90,k,5.000000000000004
VM21B,C,91,g,5.000000000000004
VM21B,C,92,g,15.0
VM21B,C,93,g,33.0
VM21B,C,94,k,89.00000000000001
VM21B,C,95,k,53.99999999999999
VM21B,C,96,k,5.000000000000004
VM21B,C,97,g,19.000000000000004
VM21B,C,98,k,27.999999999999996
VM21B,C,99,g,5.000000000000004
VM21B,E,0,G,23.999999999999993
VM21B,E,1,K,84.0
VM21B,E,10,K,5.000000000000004
VM21B,E,11,K,23.000000000000007
VM21B,E,12,K,43.0
VM21B,E,13,G,26.00000000000001
VM21B,E,14,K,24.000000000000007
VM21B,E,15,K,5.000000000000004
VM21B,E,16,K,159.0
VM21B,E,17,K,52.99999999999999
VM21B,E,18,K,25.000000000000007
VM21B,E,19,K,28.999999999999996
VM21B,E,2,G,20.000000000000004
VM21B,E,20,K,38.00000000000001
VM21B,E,21,G,22.999999999999993
VM21B,E,22,G,23.0
VM21B,E,23,K,58.00000000000001
VM21B,E,24,G,14.999999999999993
VM21B,E,25,K,38.99999999999999
VM21B,E,26,K,55.0
VM21B,E,27,K,38.00000000000001
VM21B,E,28,K,39.99999999999999
VM21B,E,29,K,44.0
VM21B,E,3,G,40.00000000000001
